見出し,表記
あ,
ああ,
ああ,
アークとう,アーク灯
アーケード,arcade
アース,earth
アーチ,arch
アート,art
アームチェア,armchair
アール,〔仏〕are
ああん,
あい,相
あい,愛
あい,×藍
あいいく,愛育
あいうち,相撃ち・相打ち・相討ち
あいかぎ,合×鍵
あいかわらず,相変わらず
あいがん,哀願
あいがん,愛×玩
あいぎ,△間着・合着
あいきょう,愛郷
あいきょう,愛△敬・愛×嬌
あいくち,合口・〈×匕首〉
あいくるしい,愛くるしい
あいけん,愛犬
あいこ,相子
あいこ,愛顧
あいご,愛護
あいこう,愛好
あいこく,愛国
あいことば,合言葉
あいさつ,×挨×拶
あいじ,愛児
あいじゃく,愛着
あいしゅう,哀愁
あいしょう,愛称
あいしょう,愛唱
あいじょう,愛情
あいじん,愛人
アイス,ice
あいず,合図
アイスキャンデー,〔和〕ice candy
アイスクリーム,ice-cream
アイスリンク,〔和〕ice rink
あいする,愛する
あいせき,愛惜
あいそ,愛想
あいそう,愛想
あいだ,間
あいだがら,間柄
あいちゃく,愛着
あいちょう,哀調
あいつ,△彼△奴
あいづち,相×槌
あいて,相手
アイデア,idea
あいとう,哀悼
あいどく,愛読
アイドル,idol
あいにく,△生憎
アイヌ,〔アイヌ〕Ainu
あいのこ,合の子・△間の子
あいのり,相乗り
あいば,愛馬
あいぶ,愛×撫
あいふく,△間服・合服
あいぼ,愛慕
あいぼう,相棒
あいま,合間
あいまい,×曖×昧
あいみたがい,相身互い
あいよう,愛用
あいよく,愛欲・愛×慾
あいらく,哀楽
あいらしい,愛らしい
あいろ,×隘路
アイロン,iron
あいわ,哀話
あう,合う
あう,会う
アウト,out
アウトドアスポーツ,outdoor sports
アウトライン,outline
あえぐ,×喘ぐ
あえて,△敢えて
あえる,△和える
あえん,亜鉛
あお,青
あおあお,青青
あおい,青い
あおい,×葵
あおうめ,青梅
あおがえる,青×蛙
あおき,青木
あおぎり,青×桐・〈×梧×桐〉
あおぐ,仰ぐ
あおぐ,△扇ぐ・×煽ぐ
あおくさ,青草
あおくさい,青臭い
あおざめる,青ざめる
あおじゃしん,青写真
あおじろい,青白い・×蒼白い
あおぞら,青空
あおだいしょう,青大将
あおだけ,青竹
あおな,青菜
あおにさい,青二才
あおのく,△仰く
あおのけ,△仰け
あおば,青葉
あおむき,仰向き
あおむく,仰向く
あおむけ,仰向け
あおむける,仰向ける
あおむし,青虫
あおもの,青物
あおやぎ,青△柳
あおり,×煽り
あおる,×煽る
あか,赤
あか,×垢
あかあかと,明明と
あかい,赤い
あかがね,△銅・赤金
あがき,△足×掻き
あかぎれ,×皸
あがく,△足×掻く
あかぐみ,赤組
あかご,赤子
あかし,△証
あかじ,赤字
あかしくらす,明かし暮らす
アカシア,acacia
あかしんごう,赤信号
あかす,明かす
あかずきん,赤頭巾
あかちゃん,赤ちゃん
あかチン,赤チン
あかつき,暁
あかつち,赤土
アカデミー,academy
アカデミック,academic
あかとんぼ,赤〈×蜻×蛉〉
あかぬけ,×垢抜け
あかはじ,赤恥
あかぼう,赤帽
あかまつ,赤松
あがめる,△崇める
あからがお,赤ら顔
あからさま,
あかり,明かり
あがり,上がり
あがりさがり,上がり下がり
あがる,上がる・揚がる・挙がる・△騰がる
あかるい,明るい
あかんべ,
あかんぼう,赤ん坊
あき,秋
あき,明き・空き
あき,飽き・×厭き
あきかぜ,秋風
あきかん,空き缶
あきくさ,秋草
あきさく,秋作
あきす,空き巣
あきすねらい,空き巣×狙い
あきち,空き地
あきない,商い
あきなう,商う
あきばこ,空き箱
あきばれ,秋晴れ
あきびより,秋《日和》
あきびん,空き瓶
あきま,空き間・明き間
あきめくら,明き△盲
あきや,空き家・明き家
あきらか,明らか
あきらめ,×諦め
あきらめる,×諦める
あきる,飽きる・×厭きる
あきれかえる,×呆れ返る
あきれはてる,×呆れ果てる
あきれる,×呆れる・×惘れる
あきんど,△商△人
あく,明く・空く
あく,開く
あく,悪
あく,〈灰汁〉
あくい,悪意
あくうん,悪運
あくえき,悪疫
あくかんじょう,悪感情
あくぎょう,悪行
あくじ,悪事
あくしつ,悪質
あくしゅ,握手
あくしゅう,悪臭
あくしゅう,悪習
あくじゅんかん,悪循環
あくしん,悪心
あくせい,悪性
あくせい,悪政
あくせく,×齷×齪・×？△促
アクセサリー,accessory
アクセント,accent
あくた,×芥
アクティブ,active
あくどい,
あくとう,悪党
あくとく,悪徳
あくにん,悪人
あくば,悪×罵
あくび,〈欠伸〉
あくひつ,悪筆
あくひょう,悪評
あくびょう,悪病
あくへい,悪弊
あくへき,悪癖
あくま,悪魔
あくまで,飽くまで
あくみょう,悪名
あくむ,悪夢
あくめい,悪名
あくゆう,悪友
あくよう,悪用
あぐら,〈×胡座〉
あくらつ,悪×辣
あくりょく,握力
あくる,明くる
あくるあさ,明くる朝
あくるとし,明くる年
あくるひ,明くる日
あげあし,揚げ足
あげあしとり,揚げ足取り
あげおろし,上げ下ろし
あけがた,明け方
あげく,挙句・揚句
あけくれ,明け暮れ
あげさげ,上げ下げ
あげしお,上げ潮
あけたて,開け△閉て
あけっぱなし,明けっ放し・開けっ放し
あけっぱなす,明けっ放す・開けっ放す
あげて,挙げて
あけのみょうじょう,明けの明星
あけはなす,明け放す・開け放す
あけび,〈木通〉・〈通草〉
あげひばり,揚げ〈雲×雀〉
あけぼの,×曙
あげもの,揚げ物
あける,明ける
あける,開ける
あげる,上げる・揚げる・挙げる
あけわたし,明け渡し
あけわたす,明け渡す
あご,×顎・×頤
アコーデオン,accordion
あこがれ,×憧れ・×憬れ
あこがれる,×憧れる・×憬れる
あさ,麻
あさ,朝
あざ,字
あざ,×痣
あさい,浅い
あさおき,朝起き
あさがお,朝顔
あさがすみ,朝×霞
あさかぜ,朝風
あさぎり,朝霧
あさぐもり,朝曇り
あさぐろい,浅黒い
あさげ,朝△食・朝×餉
あざけり,×嘲り
あざける,×嘲る
あさごはん,朝御飯
あさせ,浅瀬
あさづけ,浅漬け
あさって,〈明後日〉
あさっぱら,朝っぱら
あさつゆ,朝露
